QF_Type	start	end	date_assessment	deviceid	informed_consent	gender_KI	comm_q1	comm_q2	comm_q3	comm_q4	comm_q5	comm_q6	comm_q6_other	comm_q7	comm_q8	comm_q9	comm_q9_other	comm_q10	comm_q11	comm_q12	comm_q13	comm_q14	comm_q15	comm_q16	comm_q16_other	comm_q17	comm_q18	comm_q19	comm_q20	comm_q21	comm_q22	comm_q23	comm_q24	comm_q25	comm_q26	comm_q27	comm_q28	comm_q29	comm_q30	comm_q31	comm_q32	comm_q33	comm_q34	comm_q35	comm_q36	comm_q37	comm_q38	comm_q39	comm_q40	comm_q41	comm_q42	comm_q43	comm_q44	comm_q45	food_market_active	nfi_market_active	mixed_market_active	active_markets	food_market_limited	nfi_market_limited	mixed_market_limited	limited_markets	food_market_closed	nfi_market_closed	mixed_market_closed	closed_markets	comm_q49	comm_q50	comm_q50_other	comm_q51	comm_q51_other	comm_q52	comm_q53	comm_q53_other	comm_q54	comm_q54_other	comm_q55	comm_q56	comm_q57	comm_q58	comm_q58_other	comm_q59	comm_q60	comm_q61	comm_q61_other	comm_q62	comm_q62_other	comm_q63	comm_q63_other	comm_q64	comm_q65	comm_q65_other	comm_q66	comm_q66_other	comm_q67	comm_q68	comm_q69	comm_q70	comm_q70_other	comm_q71	comm_q72	comm_q73	comm_q73_other	comm_q74	comm_q74_other	comm_q75	comm_q75_other	comm_q76	comm_q76_other	current_oblast	current_raion	current_village	gps_work	gpslocation	_gpslocation_latitude	_gpslocation_longitude	_gpslocation_altitude	_gpslocation_precision	location_manual	_id	_uuid	_submission_time	_index	Relevant Settlement	KOATUU	Relevant Community	Extracted Community	Latitude	Longitude
Community	2017-05-19T10:58:42.278+03	2017-05-19T11:29:55.171+03	2017-05-19	354619078933503	Yes	male	No	Попасная	No	Попасная	Yes	Distance to services is too big other (specify)	Нет школы в селении	0	Попасная	No health facilities available in the area; High cost of transportation to health facility; Old age;		all equally	0-250	Yes, weekly	The community does not use gas	The community has no water supply	No centralized heating in the community	Fuel too expensive Fuel not available Delivery problems Quality is too bad		Not available	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	7.0	7.0	4.0	4.0	999.0	999.0	999.0	999.0	999.0	14.0	35.0	999.0	10.0	999.0	8.0	999.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Попасная	Private bus service		Distance need to cross checkpoints			local (in this rayon) from the oblast from other regions of Ukraine		Farming Allowances (Social security\welfare) Sale of humanitarian aid		Fully available	Fully available	Fully available	Cost Other (specify)	Добраться до рынка	Попасная	Попасная	Distance Problems transporting produce		Distance to FSP Cost of travelling to FSP Other (specify)	Только ехать в Попасная	Pillage\destruction of property Presence of armed groups		No			Landmines\ERW are present;		Yes, insufficient	Some of the known areas	No	All available		Yes, insufficient	Weekly	well		No		Waste is buried or burned Waste is left in the street\public area		Cannot empty septic tank		Luhanska	Popasnianskyi	Settlement is not on the list	No						Бригадная 1	3750987	1aa33c67-442b-4ebc-98d7-67027e10ce51	2017-05-19T14:37:19	17	Novozvanivka	4423885202	Novozvanivka	0	48.582939	38.356239
Community	2017-05-19T12:22:05.652+03	2017-05-19T12:54:56.527+03	2017-05-19	354619078917910	Yes	female	No	Горск	No	Попасная	Yes	other (specify)	Очень плохая дорога у школе	0	Горск центр 5 шт	other (specify)	Не хватает гинекологов	all equally	0-250	no	The community does not use gas	no	No centralized heating in the community	Fuel too expensive		Limited availability	38.0	13.0	37.0	17.0	999.0	999.0	60.0	999.0	50.0	999.0	17.0	9.0	8.0	15.0	999.0	999.0	699.0	999.0	999.0	15.0	8.0	999.0	999.0	13.0	999.0	4.0	16.0	999.0	0	0	1	1	0	0	0	0	0	0	0	0	Магазин, лисичанск	Private bus service		Other (specify) Transport is too expensive	Редко ходит транспорт	999.0	local (in this rayon) from the oblast		Stable employment (salaried) Unstable employment (daily) Allowances (Social security\welfare)		Fully available	Limited availability	Fully available	Don't know		Не продают	Не продают	Don't know		Queues Other (specify)	Недостаток почтовых отделений и отделений ощад банка	other (specify)	Обстрелы	Don't know			other (specify)	Все что выявили разминировали	Yes, sufficient		Yes, insufficient	All available		No, required	Montly	well		Yes		Waste is buried or burned other (specify)	Сами вывозят	no problems		Luhanska	Popasnianskyi	Hirske	Yes	48.76332329194303 38.51308022280275 108.94877029887104 32.0	48.7633232919	38.5130802228	108.948770299	32.0		3751032	00c3efb0-f8be-48cb-88a4-43152b95dbb1	2017-05-19T14:38:49	18	Hirske	4423810500	Hirske	0	48.7633232919	38.5130802228
Community	2017-05-19T14:52:13.480+03	2017-05-19T17:21:11.736+03	2017-05-19	354619078917910	Yes	female	No	Врубовка	No	Попасная	Yes	No challenges		0	Горск	No transportation\long distance to facility;		disabled female	0-250	no	The community does not use gas	The community has no water supply	No centralized heating in the community	No problems		Limited availability	25.0	15.0	35.0	16.0	7.0	999.0	999.0	999.0	60.0	999.0	27.0	10.0	9.0	999.0	999.0	999.0	999.0	999.0	999.0	15.0	10.0	25.0	999.0	13.0	999.0	6.0	17.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Один магазин в Новоивановке	Private transport (own car, borrowed car) Mototransport Bicycle Walking		Distance Transport is never available			local (in this rayon) from the oblast		Unstable employment (daily) Allowances (Social security\welfare)		Limited availability	Limited availability	Limited availability	Cost		Выращивают Для себя	Не продавали ранее.	Distance		Distance to FSP Queues		No concerns		No			Landmines\ERW are not present		No		Yes, insufficient	All available		No, not required	infrequently	well		Yes		Public (paid) waste collection		other (specify)	Каждая семья старается решить проблему канализации самостоятельно.	Luhanska	Popasnianskyi	Novoivanivka	Yes	48.747657546982836 38.47430226842943 165.78395368299218 16.0	48.747657547	38.4743022684	165.783953683	16.0		3751034	4c8f66bc-240a-4763-853c-c065a9f2f365	2017-05-19T14:38:50	19	Novoivanivka	4423856202	Novoivanivka	0	48.747657547	38.4743022684
Community	2017-05-19T14:00:36.899+03	2017-05-19T17:39:10.739+03	2017-05-19	354619078917910	Yes	female	Yes, functioning		No	Попасная	Yes	No challenges other (specify)	Нет транспорта,после 14.00 но куда не доедешь.	3	Заказывают если нет в наличии.Северодонецк по необходимости.	other (specify)	Недостаточное кол-во врачей,нет специалистов, педиатра 70лет;стоматолог -75	disabled male disabled female all equally	501-750	Yes, infrequently	The community does not use gas	no	Yes, infrequently	Fuel too expensive Quality is too bad		Fully available	26.0	18.0	37.0	17.0	7.0	100.0	60.0	80.0	60.0	100.0	25.0	10.0	10.0	18.0	7.0	10.0	10.0	7.0	7.0	25.0	10.0	25.0	50.0	15.0	300.0	5.0	15.0	999.0	0	0	1	1	0	0	0	0	0	0	0	0	Магазины	Private bus service Bicycle Walking		No challenges			local (in this rayon) from the oblast		Stable employment (salaried) Unstable employment (daily) Allowances (Social security\welfare)		Fully available	Fully available	Fully available	Cost		Местный рынок	Не возили	Distance Other (specify)	Очень мало ввращ.на продажу	Queues Lack of FSPs (incl. ATMs)		Community tension other (specify)	Назревает проблема между местными и ВПЛ, на распределении ГУМ.помощи и рабоч.мест	Yes	other (specify)	Самостоятельно многие проявляют интерес к военным.	Landmines\ERW are not present		Yes, insufficient		Yes, insufficient	In-home social care		Yes, insufficient	Weekly	well		Yes		Public (paid) waste collection		don't know		Luhanska	Popasnianskyi	Hirske	Yes	48.745767277960766 38.48700575806183 194.18351329826035 12.0	48.745767278	38.4870057581	194.183513298	12.0		3751048	3281df94-6c18-4d93-9134-861c1072f240	2017-05-19T14:39:13	20	Hirske	4423810500	Hirske	0	48.745767278	38.4870057581
Community	2017-05-19T14:50:00.153+03	2017-05-19T17:43:23.026+03	2017-05-19	354619079753975	Yes	female	No	Горск	No	Попасное	No	No challenges		0	Горск	No health facilities available in the area;		all equally	don’t know	Yes, infrequently	The community does not use gas	The community has no water supply	No centralized heating in the community	Fuel too expensive Delivery problems		Limited availability	23.0	18.0	28.0	999.0	10.0	999.0	999.0	80.0	60.0	90.0	28.0	8.5	8.5	999.0	999.0	8.0	8.0	999.0	7.5	999.0	12.0	32.0	999.0	999.0	300.0	7.5	22.0	60.0	0	0	0	0	0	0	0	0	0	0	0	0	г. Горск	Walking		Distance Transport is never available			from the oblast		Stable employment (salaried) Farming Allowances (Social security\welfare)		Limited availability	Fully available	Don't know	Cost		Не продают	Не продают	Other (specify)	Продукція не продается	Distance to FSP		No concerns		No			Landmines\ERW are not present		Yes, insufficient		No	All available		Yes, insufficient	Not in last three months but has happened	well		No		Public (paid) waste collection		Cannot empty septic tank		Luhanska	Popasnianskyi	Novoivanivka	Yes	48.74768165295434 38.473853349358436 167.2800176962003 6.0	48.747681653	38.4738533494	167.280017696	6.0		3751637	7c0f4908-c250-4290-9b76-45ea42d8853f	2017-05-19T14:59:46	21	Novoivanivka	4423856202	Novoivanivka	0	48.747681653	38.4738533494
Community	2017-05-22T14:40:15.427+03	2017-05-22T15:21:17.777+03	2017-05-22	354619078917589	Yes	female	No	Горское	No	Попасная	Yes	other (specify)	Недостаток кадров, нет транспорта, мало детей	1	Горское	other (specify)	Нет врача	elderly male elderly female	don’t know	no	The community does not use gas	Yes, infrequently	No centralized heating in the community	Fuel too expensive Quality is too bad		Fully available	46.0	12.5	28.0	19.5	5.5	999.0	30.0	60.0	42.0	75.0	25.0	8.0	10.0	10.0	11.0	5.5	16.0	14.0	6.0	21.0	9.0	20.0	33.0	10.0	999.0	5.0	27.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	"Рынок ""часа"", Горское"	Private bus service		Distance Transport is never available high prices			local (in this rayon) from the oblast		Unstable employment (daily) Farming		Fully available	Fully available	Fully available	Cost		Для себя	На трассе, Горское	Other (specify)	Земли забрали военные	Lack of FSPs (incl. ATMs)		Community tension Land expropriation Presence of armed groups		No			other (specify)	Ранее были	Yes, sufficient		Yes, sufficient	All available		Yes, sufficient	Weekly	bottled				Waste is left in the street\public area		Damage to infrastructure water shortages		Luhanska	Popasnianskyi	Zolote	Yes	48.68212833395951 38.47635367486525 214.3845448740675 8.0	48.682128334	38.4763536749	214.384544874	8.0		3806437	a430cdd2-c20a-4faa-97f9-6ea24d1b7123	2017-05-22T14:13:37	22	Zolote	4423810800	Zolote 3	1	48.682128334	38.4763536749
Community	2017-05-22T11:04:41.857+03	2017-05-22T11:14:44.782+03	2017-05-22	354619079758131	Yes	female	Yes, functioning		No	Торецк	Yes	Don't know\Not sure		3	Торецк	Old age; Health care services are too expensive;		disabled male disabled female elderly male elderly female	0-250	no	The community does not use gas	no	no	No problems		Fully available	35.0	16.0	30.0	16.0	8.0	999.0	69.0	70.0	65.0	80.0	25.0	10.0	10.0	19.0	8.0	15.0	12.0	6.0	12.0	15.0	10.0	30.0	999.0	10.0	999.0	10.0	19.0	25.0	0	0	1	1	0	0	0	0	0	0	0	0	Торецк	Public bus service Private transport (own car, borrowed car) Bicycle Walking		No challenges			local (in this rayon) from the oblast from other regions of Ukraine		Stable employment (salaried) Self-employment (not farming) Allowances (Social security\welfare)		Fully available	Fully available	Fully available	Cost		Торецк	Торецк	No problems		Lack of FSPs (incl. ATMs)		Presence of armed groups		No			Landmines\ERW are present;		Yes, sufficient	Some of the known areas	Yes, sufficient	All available		No, not required	infrequently	piped drinking water		Yes		Public (paid) waste collection		water shortages		Donetska	Dzerzhynska	Artemove	Yes	48.37315538350474 37.883859937952444 235.82642449182862 16.0	48.3731553835	37.883859938	235.826424492	16.0		3806533	adefca6f-00f4-40fc-8478-1bd71af9ad21	2017-05-22T14:17:20	23	Artemove	1411270300	Artemove	0	48.3731553835	37.883859938
Community	2017-05-22T12:48:11.974+03	2017-05-22T14:01:30.843+03	2017-05-22	354619079758131	Yes	male	No	Торецк	No	Торецк	Yes	Distance to services is too big Route to services is unsafe (mines, checkpoints, shelling);		0	Артемово,Торецк	No health facilities available in the area; Security concerns around travel to health facility; No transportation\long distance to facility;		disabled male disabled female elderly male elderly female	don’t know	no	The community does not use gas	Yes, infrequently	Yes, infrequently	No problems		Not available	29.0	11.0	32.0	16.0	8.0	120.0	70.0	75.0	70.0	85.0	22.0	10.5	12.5	22.0	9.0	18.0	13.0	8.0	15.0	16.0	12.5	31.0	999.0	12.0	280.0	12.0	22.0	32.0	0	0	0	0	0	0	0	0	0	0	0	0	Артемово,Торецк	Private bus service Private transport (own car, borrowed car) Mototransport Bicycle Walking		Distance Security concerns in travelling high prices			local (in this rayon) from the oblast		Stable employment (salaried) Allowances (Social security\welfare)		Not available	Limited availability	Limited availability	Don't know		Торецк,Артемово	Горловка,Никитовка	Distance Security concerns Used to sell at markets which are now at NGCA		Distance to FSP Lack of FSPs (incl. ATMs)		Lack of Psycho-Social Support		No			Landmines\ERW are present;		No	Some of the known areas	No	In-home social care Registration servives		No, required	Weekly	piped drinking water		Yes		Waste is buried or burned		Damage to infrastructure water shortages		Donetska	Dzerzhynska	Leninske	Yes	48.368452506244154 37.90768704043974 222.55123492948962 48.0	48.3684525062	37.9076870404	222.551234929	48.0		3806535	ffdf124d-a001-4bb6-a293-44b097bd4e77	2017-05-22T14:17:23	24	Leninske	1411245900	Leninske	0	48.3684525062	37.9076870404
Community	2017-05-22T14:53:37.632+03	2017-05-22T15:04:41.535+03	2017-05-22	354619079758131	Yes	female	No	Новгородское	No	Торецк	Yes	other (specify)	Нет детей	0	Новгород свое,Торецк	No transportation\long distance to facility; Old age; Disability\injuries\illness;		disabled male disabled female elderly male elderly female	don’t know	no	The community does not use gas	The community has no water supply	No centralized heating in the community	Delivery problems		Fully available	32.0	15.0	32.0	17.0	9.0	999.0	70.0	71.0	65.0	80.0	22.0	10.0	10.0	22.0	8.0	19.0	12.0	8.0	10.0	999.0	999.0	33.0	999.0	12.0	999.0	12.0	25.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Новгородское	Private transport (own car, borrowed car) Bicycle Walking		Distance Transport is never available			local (in this rayon) from the oblast		Allowances (Social security\welfare) Support from family\friends		Fully available	Fully available	Fully available	Availability		Новгород свое,Торецк	Новгородское	Distance Problems transporting produce		Distance to FSP		don't know		No			Landmines\ERW are not present		No		No	In-home social care Registration servives		No, not required	infrequently	well		No		Waste is buried or burned		no problems		Donetska	Dzerzhynska	Yurivka	Yes	48.3169913485132 37.8391096542098 144.00925319586048 48.0	48.3169913485	37.8391096542	144.009253196	48.0		3806537	75fe05f0-825e-447b-8992-084b6b115c9d	2017-05-22T14:17:24	25	Yurivka	1411246507	Yurivka	0	48.3169913485	37.8391096542
Community	2017-05-22T12:44:25.417+03	2017-05-22T17:10:39.485+03	2017-05-22	354619079753785	Yes	female	No	Попасная	No	Попасная	Yes	Route to services is unsafe (mines, checkpoints, shelling);		0	Попасная	No transportation\long distance to facility;		all equally	don’t know	Yes, infrequently	The community does not use gas	The community has no water supply	No centralized heating in the community	Fuel not available Delivery problems		Not available	999.0	999.0	999.0	999.0	3.5	999.0	999.0	999.0	999.0	999.0	999.0	8.5	9.0	10.0	6.0	999.0	999.0	999.0	999.0	999.0	20.0	999.0	999.0	999.0	999.0	12.0	999.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Попасная	Private bus service Public bus service Private transport (own car, borrowed car) Mototransport Bicycle Walking		Distance Security concerns in travelling Transport is too expensive		60.0	local (in this rayon) from the oblast from other regions of Ukraine		Unstable employment (daily) Farming Allowances (Social security\welfare)		Fully available	Fully available	Fully available	Cost		Попасная	Первомайск. Светлодарск. Артемовск. Мироновка.	Distance Security concerns		Distance to FSP Cost of travelling to FSP		No concerns		No			Landmines\ERW are present;		Yes, sufficient	Some of the known areas	Yes, sufficient	All available		No, not required	Daily	well		No		Waste is buried or burned		no problems		Luhanska	Popasnianskyi	Troitske	Yes	48.530986849917284 38.389706183902994 155.83408855541663 12.0	48.5309868499	38.3897061839	155.834088555	12.0		3806661	a647a3a5-a471-433d-9019-a26b2d8e0bee	2017-05-22T14:20:46	26	Troitske	4423885201	Troitske	0	48.5309868499	38.3897061839
Community	2017-05-22T11:54:26.134+03	2017-05-22T12:18:48.781+03	2017-05-22	354619079756424	Yes	male	No	Торецк	No	Торецк	No	other (specify)	Низкое качество образования в школе отсутствие при поступлении льготных категорий коррупция школьные поборы	2	Торецк	other (specify)	Нет пунктов диагностики	female children male children	501-750	no	Don't know	no	no	Don't know		Limited availability	999.0	15.0	35.0	17.0	6.0	999.0	75.0	999.0	999.0	90.0	25.0	10.0	8.0	15.0	9.0	8.0	8.0	6.0	8.0	20.0	11.0	29.0	50.0	10.0	999.0	6.0	25.0	999.0	0	0	1	1	0	0	0	0	0	0	0	0	Работают	Private bus service Walking		No challenges			from the oblast from other regions of Ukraine		Farming Allowances (Social security\welfare) Cash from humanitarian organisations		Fully available	Fully available	Fully available	Cost		Рынок	Рынок	No problems		Queues FSPs do not offer necessary services		Community tension Abuse of power\authority		No			Landmines\ERW are not present		Yes, sufficient		Yes, insufficient	Other (specify)	Плохое обращение работников соцзащиты коррупция	Yes, insufficient	Not in last three months but has happened	water trucking		Yes		Public (paid) waste collection		no problems		Donetska	Dzerzhynska	Novhorodske	Yes	48.33389577482085 37.8435904084905 108.19714831598849 16.0	48.3338957748	37.8435904085	108.197148316	16.0		3806672	dacbd2e0-bdab-41b3-beed-230dc031092c	2017-05-22T14:21:08	27	Novhorodske	1411246500	Novhorodske	0	48.3338957748	37.8435904085
Community	2017-05-22T13:00:22.285+03	2017-05-22T13:22:43.312+03	2017-05-22	354619079757273	Yes	female	Yes, functioning		Yes, functioning		Don't know	Cost of attendance is too high		10	Есть все	Health care services are too expensive; other (specify)	Качество облуживания	disabled male disabled female elderly male elderly female	251-500	Yes, infrequently	no	Yes, infrequently	no	No problems		Fully available	25.0	14.0	25.0	17.0	4.0	90.0	65.0	90.0	70.0	90.0	19.0	9.5	9.0	10.0	8.0	999.0	8.0	9.0	8.0	20.0	10.0	20.0	999.0	8.0	250.0	5.0	25.0	16.0	0	0	2	2	0	0	2	2	0	0	0	0	Константиновка	Public bus service		high prices			local (in this rayon) from the oblast		Stable employment (salaried) Unstable employment (daily)		Fully available	Fully available	Fully available	Cost		Рынок	Донецк константиновка	Distance Used to sell at markets which are now at NGCA		No problems		Community tension other (specify) Shelling	Война	No			Landmines\ERW are not present		Yes, sufficient		Yes, sufficient	In-home social care		Yes, insufficient	infrequently	piped drinking water		Yes		Public (paid) waste collection		no problems		Donetska	Dzerzhynska	Novhorodske	Yes	48.32714302899746 37.82720144510996 167.7480617229335 12.0	48.327143029	37.8272014451	167.748061723	12.0		3806711	1eff8fee-c375-4e3c-b6f7-009da0ed27d6	2017-05-22T14:22:31	28	Novhorodske	1411246500	Novhorodske	0	48.327143029	37.8272014451
Community	2017-05-22T13:42:47.931+03	2017-05-22T13:56:57.928+03	2017-05-22	354619079757273	Yes	male	Yes, functioning		No	Торецк	Yes	Cost of attendance is too high other (specify)	Нет квалифицтрованных педагогов	4	Торецк	Old age; Health care services are too expensive;		disabled male disabled female elderly male elderly female	251-500	no	no	no	no	Don't know		Limited availability	40.0	16.0	35.0	16.0	6.0	110.0	70.0	55.0	70.0	90.0	25.0	9.0	8.0	15.0	8.0	8.0	9.0	6.0	8.0	18.0	9.0	28.0	40.0	9.0	275.0	6.0	20.0	25.0	0	0	2	2	0	0	0	0	0	0	0	0	Работают или Торецк	Public bus service Private transport (own car, borrowed car)		high prices			from the oblast from other regions of Ukraine		Stable employment (salaried) Unstable employment (daily) Farming Allowances (Social security\welfare)		Fully available	Fully available	Fully available	Cost Poor quality		Рынок	Рынок	No problems		Queues Lack of FSPs (incl. ATMs) FSPs do not offer necessary services		Community tension		No			Landmines\ERW are not present		Yes, sufficient		Yes, sufficient	Registration servives		Yes, insufficient	Not in last three months but has happened	piped drinking water		Yes		Public (paid) waste collection		no problems		Donetska	Dzerzhynska	Novhorodske	Yes	48.33867550226741 37.82165190406544 155.8495945262963 12.0	48.3386755023	37.8216519041	155.849594526	12.0		3806712	a2c570b5-f49e-46a9-90d7-77a40a8e127d	2017-05-22T14:22:32	29	Novhorodske	1411246500	Novhorodske	0	48.3386755023	37.8216519041
Community	2017-05-22T14:41:30.100+03	2017-05-22T14:57:56.196+03	2017-05-22	354619079757273	Yes	female	Yes, functioning		No	Торецк	Don't know	No challenges		2	Всего хватает	other (specify)	Основные специалисты в Торецке	disabled male disabled female pregnant women	251-500	Yes, infrequently	The community does not use gas	Yes, infrequently	No centralized heating in the community	Fuel too expensive Fuel not available		Limited availability	30.0	14.0	30.0	18.0	6.0	110.0	75.0	75.0	65.0	87.0	27.0	9.0	8.0	20.0	9.0	12.0	10.0	10.0	8.0	16.0	10.0	20.0	36.0	10.0	250.0	5.0	18.0	40.0	0	0	2	2	0	0	0	0	0	0	0	0	Работают	Public bus service		Transport is too expensive		10.0	from the oblast from other regions of Ukraine		Stable employment (salaried) Farming Allowances (Social security\welfare)		Limited availability	Fully available	Fully available	Cost		Рынок	Рынок	No problems		Queues		No concerns		No			Landmines\ERW are present;		Yes, sufficient	Yes, all known areas	Yes, insufficient	Registration servives		Yes, sufficient	infrequently	piped drinking water		No		Public (paid) waste collection		no problems		Donetska	Dzerzhynska	Novhorodske	Yes	48.31761394967789 37.85426852651161 147.6510779542094 12.0	48.3176139497	37.8542685265	147.651077954	12.0		3806713	af6afea0-a7ba-4753-8340-3d9385a84bc7	2017-05-22T14:22:33	30	Novhorodske	1411246500	Novhorodske	0	48.3176139497	37.8542685265
Community	2017-05-22T12:01:15.149+03	2017-05-22T12:13:51.864+03	2017-05-22	354619079756564	Yes	female	Yes, functioning		No	Торецк	Yes	No challenges		3	Торецк	Health care services are too expensive;		all equally	0-250	Yes, infrequently	The community does not use gas	Yes, daily	no	No problems		Fully available	25.0	12.0	30.0	20.0	7.0	999.0	70.0	100.0	70.0	100.0	30.0	10.0	9.0	8.0	999.0	999.0	999.0	999.0	999.0	15.0	10.0	25.0	50.0	15.0	999.0	10.0	20.0	25.0	0	0	1	1	0	0	0	0	0	0	0	0	Торецк	Public bus service Private transport (own car, borrowed car) Bicycle Walking		high prices			local (in this rayon) from other regions of Ukraine		Stable employment (salaried) Allowances (Social security\welfare) Support from family\friends		Fully available	Fully available	Fully available	Cost		Торецк	Горловка	Problems transporting produce Used to sell at markets which are now at NGCA		Lack of FSPs (incl. ATMs)		Community tension Mines and ERW Presence of armed groups		No			Not sure\don't know		Yes, insufficient		Yes, insufficient	All available		Don't know	infrequently	piped drinking water		Yes		Public (paid) waste collection		Damage to infrastructure water shortages		Donetska	Dzerzhynska	Artemove	Yes	48.37378651575282 37.884338345915616 219.98982267448557 8.0	48.3737865158	37.8843383459	219.989822674	8.0		3806779	9bff33a2-9c14-4681-890d-596d0d7361b1	2017-05-22T14:25:27	31	Artemove	1411270300	Artemove	0	48.3737865158	37.8843383459
Community	2017-05-22T12:47:56.345+03	2017-05-22T13:00:48.601+03	2017-05-22	354619079756564	Yes	female	No	Торецк	No	Торецк	Yes	Route to services is unsafe (mines, checkpoints, shelling);		0	А ртемово. Торецк	Security concerns around travel to health facility; Health care services are too expensive;		all equally	0-250	Yes, weekly	The community does not use gas	Yes, daily	No centralized heating in the community	Fuel too expensive Quality is too bad		Not available	25.0	15.0	25.0	27.0	8.0	999.0	70.0	90.0	70.0	90.0	30.0	10.0	10.0	15.0	999.0	999.0	15.0	999.0	999.0	20.0	12.0	26.0	50.0	15.0	270.0	12.0	28.0	30.0	0	0	0	0	0	0	0	0	0	0	0	0	Торецк	Private bus service Public bus service Private transport (own car, borrowed car)		Distance Security concerns in travelling high prices			local (in this rayon) from other regions of Ukraine		Stable employment (salaried) Allowances (Social security\welfare) Support from family\friends		Fully available	Fully available	Fully available	Cost		Торецк	Горловка	Distance Problems transporting produce Used to sell at markets which are now at NGCA		Cost of travelling to FSP Lack of FSPs (incl. ATMs) FSPs do not offer necessary services		Mines and ERW Presence of armed groups		No			Landmines\ERW are present;		Don't know	Don't know	No	In-home social care Registration servives Delivering pensions or social benefits		No, required	Weekly	piped drinking water		Yes		Waste is buried or burned		Damage to infrastructure water shortages		Donetska	Dzerzhynska	Leninske	Yes	48.36958663123157 37.9081219955671 234.48440894040456 96.0	48.3695866312	37.9081219956	234.48440894	96.0		3806785	5fa03428-6330-4a41-b9ff-7ae0d40300b4	2017-05-22T14:25:32	32	Leninske	1411245900	Leninske	0	48.3695866312	37.9081219956
Community	2017-05-22T13:15:34.014+03	2017-05-22T13:25:12.117+03	2017-05-22	354619079756564	Yes	male	No	Торецк	No	Торецк	Yes	Distance to services is too big Route to services is unsafe (mines, checkpoints, shelling);		0	Торецк	No health facilities available in the area; Security concerns around travel to health facility; Health care services are too expensive;		all equally	0-250	Yes, weekly	The community does not use gas	Yes, daily	No centralized heating in the community	Fuel not available Quality is too bad		Not available	25.0	12.0	32.0	25.0	8.0	999.0	70.0	95.0	80.0	100.0	35.0	10.0	8.0	10.0	999.0	999.0	999.0	999.0	999.0	999.0	10.0	25.0	55.0	16.0	999.0	10.0	999.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Торецк	Private bus service Public bus service Private transport (own car, borrowed car) Bicycle		Distance Security concerns in travelling high prices			local (in this rayon) from other regions of Ukraine		Stable employment (salaried) Allowances (Social security\welfare)		Limited availability	Limited availability	Limited availability	Cost		Торецк	Горловка	Distance Problems transporting produce Used to sell at markets which are now at NGCA		Distance to FSP Lack of FSPs (incl. ATMs)		Mines and ERW Presence of armed groups		No			Landmines\ERW are present;		Don't know	Don't know	No	In-home social care Registration servives		No, required	Weekly	piped drinking water		Yes		Waste is buried or burned		Damage to infrastructure water shortages		Donetska	Dzerzhynska	Leninske	Yes	48.36817487306497 37.90744483655043 168.17809583895212 12.0	48.3681748731	37.9074448366	168.178095839	12.0		3806786	a1b294f1-f457-47eb-9eba-ddddf96613d4	2017-05-22T14:25:34	33	Leninske	1411245900	Leninske	0	48.3681748731	37.9074448366
Community	2017-05-22T15:01:59.168+03	2017-05-22T15:12:19.476+03	2017-05-22	354619079756564	Yes	male	No	Новгородское	No	Торецк	Don't know	Don't know\Not sure		0	Новгородское	No transportation\long distance to facility; Old age;		elderly male elderly female	don’t know	Yes, infrequently	The community does not use gas	The community has no water supply	no	Fuel too expensive		Limited availability	30.0	12.0	30.0	18.0	999.0	90.0	70.0	95.0	60.0	100.0	32.0	9.0	9.0	10.0	999.0	999.0	999.0	999.0	999.0	999.0	8.0	999.0	999.0	15.0	999.0	10.0	999.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Новгородское	Private transport (own car, borrowed car) Mototransport Bicycle		Distance high prices			from other regions of Ukraine		Unstable employment (daily) Allowances (Social security\welfare)		Not available	Not available	Not available	Cost Insufficient selection		Новгородское	Горловка	Distance Problems transporting produce Used to sell at markets which are now at NGCA		Lack of FSPs (incl. ATMs)		Pillage\destruction of property		No			Not sure\don't know		No		No	In-home social care Registration servives		No, not required	infrequently	well		No		Waste is buried or burned		no problems		Donetska	Dzerzhynska	Yurivka	Yes	48.31707922003402 37.838522410739046 128.07188665680235 8.0	48.31707922	37.8385224107	128.071886657	8.0		3806787	6290b67f-df3d-4cab-b272-11d6f5905767	2017-05-22T14:25:35	34	Yurivka	1411246507	Yurivka	0	48.31707922	37.8385224107
