	start	end	date_assessment	deviceid	enum_id	facility_name	facility_type	facility_status	current_oblast	current_raion	current_village	gps_work	gpslocation	_gpslocation_latitude	_gpslocation_longitude	_gpslocation_altitude	_gpslocation_precision	location_manual	_id	_uuid	_submission_time	_index
20	2017-05-17T11:32:16.320+03	2017-05-17T11:33:41.880+03	2017-05-17	354619079756564	Slov 004	Продукты	Supermarket	Active / operating	Donetska	Bakhmutskyi	Luhanske	Yes	48.44492329119924 38.25528604125873 164.6572263350802 32.0	48.4449232912	38.2552860413	164.657226335	32.0		3698800	0ccf418f-551a-4e46-ab1d-aa1fecf6d0c8	2017-05-17T12:29:33	21
21	2017-05-17T11:36:32.540+03	2017-05-17T11:38:31.510+03	2017-05-17	354619079756564	Slov 004	Магазин	Supermarket	Active / operating	Donetska	Bakhmutskyi	Luhanske	Yes	48.44536689594037 38.255223103259006 162.07068617889843 16.0	48.4453668959	38.2552231033	162.070686179	16.0		3698801	dce2ff6f-65b3-4732-bd3a-76530938c350	2017-05-17T12:29:34	22
22	2017-05-17T12:18:19.078+03	2017-05-17T12:20:31.810+03	2017-05-17	354619079756564	Slov 004	Автобусная остановка	Bus station	Don't know / Not sure	Donetska	Bakhmutskyi	Luhanske	Yes	48.44513131315803 38.255115150490354 225.61877489445587 96.0	48.4451313132	38.2551151505	225.618774894	96.0		3698803	51df5497-649e-41d4-a0ba-9edead54fe5d	2017-05-17T12:29:37	23
23	2017-05-17T10:56:27.040+03	2017-05-17T10:57:30.875+03	2017-05-17	354619079758131	Slov 06	Минимаркет	Supermarket	Closed permanently	Donetska	Bakhmutskyi	Luhanske	Yes	48.44356607678165 38.256759670623744 168.13899578827176 12.0	48.4435660768	38.2567596706	168.138995788	12.0		3698849	48e2aaf5-a038-45e9-950c-c4cf4f969336	2017-05-17T12:35:21	24
24	2017-05-18T11:08:48.836+03	2017-05-18T11:09:46.440+03	2017-05-18	354619079758131	Slov 06	Магазин	Supermarket	Active / operating	Donetska	Bakhmutskyi	Novoluhanske	Yes	48.426032266879695 38.17618021670613 242.39530369040975 24.0	48.4260322669	38.1761802167	242.39530369	24.0		3724643	8153bb30-0b72-4876-981a-3cae8bf6ab0e	2017-05-18T12:01:45	25
25	2017-05-18T12:15:36.611+03	2017-05-18T12:16:48.239+03	2017-05-18	354619079758131	Slov 06	Магазин	Supermarket	Closed permanently	Donetska	Bakhmutskyi	Novoluhanske	Yes	48.427960506675724 38.17349349498937 229.1538016181525 24.0	48.4279605067	38.173493495	229.153801618	24.0		3724652	cfc5e212-fb87-4205-966d-d3bf72fdb877	2017-05-18T12:01:48	26
26	2017-05-18T10:07:57.288+03	2017-05-18T10:08:57.588+03	2017-05-18	354619079757273	Slov 003	Магазин	Supermarket	Active / operating	Donetska	Bakhmutskyi	Semyhiria	Yes	48.46583186001009 38.15735719212529 193.88767970397743 8.0	48.46583186	38.1573571921	193.887679704	8.0		3724724	7e21f005-15b8-4637-851b-6716e87f0347	2017-05-18T12:02:22	27
27	2017-05-18T11:44:32.481+03	2017-05-18T11:45:42.405+03	2017-05-18	354619079757273	Slov 003	Магазин	Supermarket	Active / operating	Donetska	Bakhmutskyi	Kodema	Yes	48.474951487693 38.08000271695936 153.34183694816537 16.0	48.4749514877	38.080002717	153.341836948	16.0		3724734	288d1d7b-a37f-4f1c-ab2d-a8de1ee9e256	2017-05-18T12:02:25	28
28	2017-05-18T10:17:18.943+03	2017-05-18T10:18:48.402+03	2017-05-18	354619079756564	Slov 004	Центр дозвилля юнисть	Government building	Active / operating	Donetska	Bakhmutskyi	Luhanske	Yes	48.42876691574447 38.173481874953076 231.7258622466864 32.0	48.4287669157	38.173481875	231.725862247	32.0		3725345	d3a550c8-00a5-4ef7-8523-d47042dde9e4	2017-05-18T12:13:22	29
29	2017-05-18T10:20:32.206+03	2017-05-18T10:21:52.717+03	2017-05-18	354619079756564	Slov 004	Банкомат сбербанк	Bank	Active / operating	Donetska	Bakhmutskyi	Luhanske	Yes	48.42893080666631 38.17379012239778 236.9198567750489 32.0	48.4289308067	38.1737901224	236.919856775	32.0		3725346	5af47b9d-754f-4103-8032-95a11776263f	2017-05-18T12:13:23	30
30	2017-05-18T10:22:08.119+03	2017-05-18T10:23:19.291+03	2017-05-18	354619079756564	Slov 004	Банкомат аваль	Bank	Closed permanently	Donetska	Bakhmutskyi	Luhanske	Yes	48.42896723299433 38.17382474817805 222.17363084645498 32.0	48.428967233	38.1738247482	222.173630846	32.0		3725348	ab0acb8a-fb27-47b7-96fc-4e425363e5b1	2017-05-18T12:13:24	31
31	2017-05-18T10:24:55.871+03	2017-05-18T10:25:57.789+03	2017-05-18	354619079756564	Slov 004	Продукты	Supermarket	Active / operating	Donetska	Bakhmutskyi	Luhanske	Yes	48.429670918589096 38.173788897329274 223.01245166546664 16.0	48.4296709186	38.1737888973	223.012451665	16.0		3725349	ea6b2818-0149-4317-9ab0-18d20e20d82c	2017-05-18T12:13:25	32
32	2017-05-18T10:26:08.654+03	2017-05-18T10:26:58.703+03	2017-05-18	354619079756564	Slov 004	Аптека	Pharmacy	Active / operating	Donetska	Bakhmutskyi	Luhanske	Yes	48.42903024696986 38.17418240872959 291.8159932324061 32.0	48.429030247	38.1741824087	291.815993232	32.0		3725350	b8c464a4-0f2d-4a2a-86f1-06fc78f1bae1	2017-05-18T12:13:26	33
33	2017-05-18T10:28:05.073+03	2017-05-18T10:29:00.176+03	2017-05-18	354619079756564	Slov 004	Аптека	Pharmacy	Active / operating	Donetska	Bakhmutskyi	Luhanske	Yes	48.429948742119954 38.174309144669195 223.65083243731033 8.0	48.4299487421	38.1743091447	223.650832437	8.0		3725351	520d9bfc-5f5b-4a65-90cb-70f83b92e823	2017-05-18T12:13:27	34
34	2017-05-18T11:04:25.595+03	2017-05-18T11:06:15.256+03	2017-05-18	354619079756564	Slov 004	Рынок	Marketplace	Active / operating	Donetska	Bakhmutskyi	Luhanske	Yes	48.42905384555598 38.177124837531224 215.34920561458136 24.0	48.4290538456	38.1771248375	215.349205615	24.0		3725353	66fbe2d5-2dae-4fe5-ac3f-c96d567e0f74	2017-05-18T12:13:29	35
35	2017-05-18T11:13:22.050+03	2017-05-18T11:14:29.019+03	2017-05-18	354619079756564	Slov 004	Полиция	Government building	Active / operating	Donetska	Bakhmutskyi	Luhanske	Yes	48.42814024583127 38.17300605834547 269.5363946463606 32.0	48.4281402458	38.1730060583	269.536394646	32.0		3725354	89c511f8-1674-41b5-a771-dd3eeb20e2a1	2017-05-18T12:13:30	36
36	2017-05-18T10:18:22.072+03	2017-05-18T10:20:58.064+03	2017-05-18	354619079759782	Slov.007	Почтовое отделение	Post office	Active / operating	Donetska	Bakhmutskyi	Novoluhanske	Yes	48.42833420156335 38.172947059712754 253.4032396030117 8.0	48.4283342016	38.1729470597	253.403239603	8.0		3725439	a087fa6b-3033-4235-ba94-84da46f55e33	2017-05-18T12:23:11	37
37	2017-05-18T10:22:31.407+03	2017-05-18T10:24:13.210+03	2017-05-18	354619079759782	Slov.007	Комунальное предприятие	Government building	Active / operating	Donetska	Bakhmutskyi	Novoluhanske	Yes	48.428276998712505 38.17291088098024 248.89030643550737 32.0	48.4282769987	38.172910881	248.890306436	32.0		3725440	c896abd4-7988-476a-97dd-6fec99387081	2017-05-18T12:23:13	38
38	2017-05-18T10:24:27.326+03	2017-05-18T10:25:39.407+03	2017-05-18	354619079759782	Slov.007	Водоканал	Government building	Active / operating	Donetska	Bakhmutskyi	Novoluhanske	Yes	48.42819844328477 38.172848527780396 162.29893643321654 32.0	48.4281984433	38.1728485278	162.298936433	32.0		3725441	f05b7b06-7c27-43c3-82d7-757ac1a1e2f9	2017-05-18T12:23:14	39
39	2017-05-18T11:32:06.955+03	2017-05-18T11:33:17.179+03	2017-05-18	354619079759782	Slov.007	Детский сад	Kindergarten	Destroyed	Donetska	Bakhmutskyi	Novoluhanske	Yes	48.429600884613556 38.178314049505836 220.45687393304226 12.0	48.4296008846	38.1783140495	220.456873933	12.0		3725443	74339e71-3b44-4154-993f-0dafb023717e	2017-05-18T12:23:16	40
40	2017-05-18T11:35:07.005+03	2017-05-18T11:36:31.137+03	2017-05-18	354619079759782	Slov.007	Магазин	Supermarket	Active / operating	Donetska	Bakhmutskyi	Novoluhanske	Yes	48.429216047107936 38.177651560225335 230.99918439472518 32.0	48.4292160471	38.1776515602	230.999184395	32.0		3725445	887c5ad7-303d-4132-b3de-724ae0541c2d	2017-05-18T12:23:17	41
41	2017-05-18T10:58:51.476+03	2017-05-18T14:46:44.133+03	2017-05-18	354619078917589	SIEV_07	Магазин Илона	Supermarket	Closed permanently	Luhanska	Popasnianskyi	Komyshuvakha	Yes	48.697466730030385 38.382920982856014 243.23259212623697 16.0	48.69746673	38.3829209829	243.232592126	16.0		3726614	55bf6327-bc59-4f12-ab25-9ba81def5d7c	2017-05-18T13:29:12	42
42	2017-05-18T14:34:46.450+03	2017-05-18T14:46:49.308+03	2017-05-18	354619078917589	В	Ларек	Supermarket	Active / operating	Luhanska	Popasnianskyi	Viktorivka	Yes	48.70779008745732 38.34918724330243 210.7979104463936 12.0	48.7077900875	38.3491872433	210.797910446	12.0		3726619	04586e25-8e55-4825-a7fb-b5d00686222a	2017-05-18T13:29:17	43
43	2017-05-18T13:51:33.304+03	2017-05-18T13:52:34.732+03	2017-05-18	354619079753975	SIEV_ 03	Почта	Post office	Active / operating	Luhanska	Popasnianskyi	Komyshuvakha	Yes	48.69589517630771 38.385029827181825 241.601424111499 8.0	48.6958951763	38.3850298272	241.601424111	8.0		3727547	542e1935-bb72-40a0-ad57-440f3a15fbca	2017-05-18T13:57:26	44
44	2017-05-18T13:40:57.891+03	2017-05-18T13:42:41.445+03	2017-05-18	354619078917910	SIEV_04	Магазин	Supermarket	Active / operating	Luhanska	Popasnianskyi	Komyshuvakha	Yes	48.696756939922984 38.38622086871328 230.33941622229133 16.0	48.6967569399	38.3862208687	230.339416222	16.0		3728378	2abc1752-d76c-4b08-9290-ab17c08e8349	2017-05-18T14:29:54	45
45	2017-05-19T11:13:15.988+03	2017-05-19T11:15:09.819+03	2017-05-19	354619079757273	Slov 003	Магазин продукты  .хозтовары	Supermarket	Active / operating	Donetska	Bakhmutskyi	Settlement is not on the list	Yes	48.39763512496483 37.973571255089965 225.1107435769324 24.0	48.397635125	37.9735712551	225.110743577	24.0		3748105	4fe5dc1e-bf01-462c-b747-494fccb371b4	2017-05-19T11:34:42	46
46	2017-05-19T10:16:44.139+03	2017-05-19T10:18:07.564+03	2017-05-19	354619079756564	Slov 004	Приватбанк	Bank	Active / operating	Donetska	Dzerzhynska	Toretsk	Yes	48.39438689027824 37.848638935473055 217.12025974519554 48.0	48.3943868903	37.8486389355	217.120259745	48.0		3750455	cbbce0bd-22b2-4187-8077-192281db6406	2017-05-19T14:01:51	47
47	2017-05-19T10:27:00.303+03	2017-05-19T10:28:14.800+03	2017-05-19	354619079756564	Slov 004	Автовокзал	Bus station	Active / operating	Donetska	Dzerzhynska	Toretsk	Yes	48.39804393884623 37.83954049450272 239.69450605431217 32.0	48.3980439388	37.8395404945	239.694506054	32.0		3750457	95e5283e-14d7-4f99-a310-3b8262054b82	2017-05-19T14:01:52	48
48	2017-05-19T10:42:24.575+03	2017-05-19T10:43:54.572+03	2017-05-19	354619079756564	Slov 004	Укрсоцбанк	Bank	Closed permanently	Donetska	Dzerzhynska	Toretsk	Yes	48.39800543747313 37.83940455317996 229.88776205755403 48.0	48.3980054375	37.8394045532	229.887762058	48.0		3750460	2321cb9e-5b25-4924-bf6b-e9216557e018	2017-05-19T14:01:54	49
49	2017-05-19T10:44:50.619+03	2017-05-19T10:46:14.218+03	2017-05-19	354619079756564	Slov 004	Центральный рынок	Marketplace	Active / operating	Donetska	Dzerzhynska	Toretsk	Yes	48.39748611122899 37.83782441571086 183.21885339413438 12.0	48.3974861112	37.8378244157	183.218853394	12.0		3750461	25edd193-c0fd-4e14-b7bf-4e9a0dfacf6b	2017-05-19T14:01:55	50
50	2017-05-19T10:51:20.799+03	2017-05-19T10:52:31.394+03	2017-05-19	354619079756564	Slov 004	Малька ликарня	Hospital	Active / operating	Donetska	Dzerzhynska	Toretsk	Yes	48.39733198824883 37.84290715486831 217.3441551898478 32.0	48.3973319882	37.8429071549	217.34415519	32.0		3750462	a264c7af-90be-4706-8ebd-241658881339	2017-05-19T14:01:56	51
51	2017-05-19T11:08:26.181+03	2017-05-19T11:10:01.126+03	2017-05-19	354619079756564	Slov 004	Ощадбанк	Bank	Active / operating	Donetska	Dzerzhynska	Toretsk	Yes	48.39279503244334 37.85127575212467 304.8269084582587 16.0	48.3927950324	37.8512757521	304.826908458	16.0		3750463	d02e4ab6-0cb1-4163-aa83-8f55f767fe9e	2017-05-19T14:01:56	52
52	2017-05-19T11:25:23.827+03	2017-05-19T11:27:39.523+03	2017-05-19	354619079756564	Slov 004	Совбез	Government building	Active / operating	Donetska	Dzerzhynska	Toretsk	Yes	48.39522703726482 37.855080889349225 224.30649205589316 12.0	48.3952270373	37.8550808893	224.306492056	12.0		3750464	d2507079-2364-4e2f-a893-9a59df97ca5d	2017-05-19T14:01:57	53
53	2017-05-19T11:30:37.733+03	2017-05-19T11:32:05.450+03	2017-05-19	354619079756564	Slov 004	Рынок москва	Marketplace	Active / operating	Donetska	Dzerzhynska	Toretsk	Yes	48.395886019041946 37.85306189057099 223.55047930637585 96.0	48.395886019	37.8530618906	223.550479306	96.0		3750465	f9e1e4dc-8b99-4214-b8b2-5abf96b66734	2017-05-19T14:01:58	54
54	2017-05-19T12:07:51.301+03	2017-05-19T12:08:55.394+03	2017-05-19	354619079756564	Slov 004	Почта	Post office	Active / operating	Donetska	Dzerzhynska	Toretsk	Yes	48.3932693429307 37.850830293003064 219.7354165183467 32.0	48.3932693429	37.850830293	219.735416518	32.0		3750468	59848d32-f2f5-4192-8203-6fa8804b146e	2017-05-19T14:02:01	55
55	2017-05-19T12:24:17.898+03	2017-05-19T12:25:31.170+03	2017-05-19	354619079756564	Slov 004	Рынок	Marketplace	Active / operating	Donetska	Dzerzhynska	Toretsk	Yes	48.380367497089075 37.84522146946214 136.02427555646378 96.0	48.3803674971	37.8452214695	136.024275556	96.0		3750469	4b1a264d-1f92-4cee-948d-8655b32da769	2017-05-19T14:02:02	56
56	2017-05-19T11:23:49.691+03	2017-05-19T11:25:58.065+03	2017-05-19	354619079753736	Slov005	"Міський орган самоорганізації населення ""Доброта"""	Government building	Active / operating	Donetska	Dzerzhynska	Toretsk	Yes	48.39447949705875 37.849277041390636 214.50008833816048 16.0	48.3944794971	37.8492770414	214.500088338	16.0		3750475	e1fb7bd6-82d4-421c-a16d-4bcef7052a76	2017-05-19T14:02:12	57
57	2017-05-19T13:24:16.367+03	2017-05-19T13:25:51.404+03	2017-05-19	354619079759782	Slov.007	Рынок	Marketplace	Active / operating	Donetska	Dzerzhynska	Toretsk	Yes	48.39881749890215 37.83800130792315 197.81225952971212 48.0	48.3988174989	37.8380013079	197.81225953	48.0		3750622	b2c30c52-051e-47ad-80f7-426f51cbe72e	2017-05-19T14:11:58	58
58	2017-05-19T13:31:34.724+03	2017-05-19T13:33:07.926+03	2017-05-19	354619079759782	Slov.007	Центр обслуживания плательщиков налогов	Government building	Active / operating	Donetska	Dzerzhynska	Toretsk	Yes	48.39812535097586 37.842149967693395 196.40459449757378 16.0	48.398125351	37.8421499677	196.404594498	16.0		3750623	1c5792bc-294b-4337-a9f8-f09653b62485	2017-05-19T14:11:59	59
59	2017-05-19T13:34:05.472+03	2017-05-19T13:35:19.838+03	2017-05-19	354619079759782	Slov.007	Городская стомотогическая больница	Clinic	Active / operating	Donetska	Dzerzhynska	Toretsk	Yes	48.397635053039274 37.84296778212662 194.6500170133577 32.0	48.397635053	37.8429677821	194.650017013	32.0		3750624	8b1e6873-4407-4513-89bd-01d7ef7fc744	2017-05-19T14:12:00	60
60	2017-05-19T13:36:54.328+03	2017-05-19T13:38:41.917+03	2017-05-19	354619079759782	Slov.007	АТ Ощадбанк	Bank	Active / operating	Donetska	Dzerzhynska	Toretsk	Yes	48.39682402623747 37.84390738082497 223.28033870741683 8.0	48.3968240262	37.8439073808	223.280338707	8.0		3750625	70741093-4104-41dd-841a-a0fce548b729	2017-05-19T14:12:01	61
61	2017-05-19T13:45:45.788+03	2017-05-19T13:47:26.177+03	2017-05-19	354619079759782	Slov.007	Торецкий департамент финансов	Government building	Active / operating	Donetska	Dzerzhynska	Toretsk	Yes	48.393873510926845 37.85015582648976 213.35259910477464 32.0	48.3938735109	37.8501558265	213.352599105	32.0		3750626	59bc1f7b-1d11-44bf-ad94-4d26acee38bf	2017-05-19T14:12:02	62
62	2017-05-19T14:04:45.810+03	2017-05-19T14:05:49.111+03	2017-05-19	354619079759782	Slov.007	Ощад. Отдел.	Bank	Active / operating	Donetska	Dzerzhynska	Toretsk	Yes	48.39322177942784 37.864354502414216 219.10905621230748 8.0	48.3932217794	37.8643545024	219.109056212	8.0		3750627	ba7360f1-552b-47a2-a43e-f6dd6f9070a7	2017-05-19T14:12:03	63
63	2017-05-19T13:09:17.097+03	2017-05-19T13:11:19.203+03	2017-05-19	354619079753785	SIEV_01	Фельдшерский пункт	Clinic	Active / operating	Luhanska	Popasnianskyi	Druzhba	Yes	48.629409663314355 38.33813805679971 244.47126393536752 24.0	48.6294096633	38.3381380568	244.471263935	24.0		3750784	2927923d-659c-4842-a9f3-c6493b28d09b	2017-05-19T14:25:35	64
64	2017-05-19T14:33:05.037+03	2017-05-19T14:35:30.076+03	2017-05-19	354619079753785	SIEV _1	Амбулатория общей практики-семейной медицины	Hospital	Active / operating	Luhanska	Popasnianskyi	Troitske	Yes	48.5198258975462 38.364788205836426 173.4742209608438 8.0	48.5198258975	38.3647882058	173.474220961	8.0		3750785	89220b74-61db-4f5d-84ad-37a25fb23be1	2017-05-19T14:25:36	65
65	2017-05-19T10:32:13.735+03	2017-05-19T10:33:29.530+03	2017-05-19	354619078917803	Siev_02	Магазин-кафе	Supermarket	Active / operating	Luhanska	Popasnianskyi	Hirske	Yes	48.76341503349278 38.513121001183734 126.46372027090447 16.0	48.7634150335	38.5131210012	126.463720271	16.0		3750791	fa423dfd-a0af-4476-a992-d282267538de	2017-05-19T14:25:51	66
66	2017-05-19T11:57:35.524+03	2017-05-19T11:58:20.744+03	2017-05-19	354619078917803	Siev_02	ДК Украина	Government building	Active / operating	Luhanska	Popasnianskyi	Hirske	Yes	48.743204271334086 38.49057439165373 209.54161849849208 16.0	48.7432042713	38.4905743917	209.541618498	16.0		3750794	189a8602-2946-4113-829c-6f3102f47e04	2017-05-19T14:25:54	67
67	2017-05-19T11:58:45.148+03	2017-05-19T11:59:40.975+03	2017-05-19	354619078917803	Siev_02	Магазин	Supermarket	Active / operating	Luhanska	Popasnianskyi	Hirske	Yes	48.74364204119038 38.490742340137665 175.0890182119563 16.0	48.7436420412	38.4907423401	175.089018212	16.0		3750795	184fcd56-a655-47f0-a2ff-04748a19292c	2017-05-19T14:25:55	68
68	2017-05-19T14:47:09.795+03	2017-05-19T14:55:49.303+03	2017-05-19	354619078917803	Siev_02	Школа 1-3 ступенів	School	Active / operating	Luhanska	Popasnianskyi	Novoivanivka	Yes	48.7475065078194 38.47054714497368 161.47264658128918 8.0	48.7475065078	38.470547145	161.472646581	8.0		3750799	41024d37-95f2-4aa9-a0df-16cbc88e457e	2017-05-19T14:25:58	69
