KOATUU;Relevant Community;question_id;question;response;Clarification;Number Responded
1410665600;Zaitseve (Maiorsk GCA);comm_q1;Does the community have a police station?;No;Not needed;4
1410665600;Zaitseve (Maiorsk GCA);comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'Yes, infrequently' and some of them 'Yes, daily';Clarified;
1410665600;Zaitseve (Maiorsk GCA);comm_q13;Have there been any gas shortages in the last 3 months?;Most of respondents 'Yes, daily' and some of them 'The community does not use gas';Clarified;
1410665600;Zaitseve (Maiorsk GCA);comm_q14;Have there been any water shortages in the past three months?;Most of respondents 'Yes, infrequently' and some of them 'No';Clarified;
1410665600;Zaitseve (Maiorsk GCA);comm_q15;Have there been any heating shortages during the last winter?;Most of respondents 'Yes, daily' and some of them 'No centralized heating in the community';Clarified;
1410665600;Zaitseve (Maiorsk GCA);comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Clarified;
1410665600;Zaitseve (Maiorsk GCA);comm_q3;Does the community have a local court?;No;Not needed;4
1410665600;Zaitseve (Maiorsk GCA);comm_q66;Are there any landmines/other ERW in community?;Landmines\ERW are present;Clarified;
1410665600;Zaitseve (Maiorsk GCA);comm_q69;Are there any child friendly space in the community?;Very insufficient;Clarified;
1410665600;Zaitseve (Maiorsk GCA);comm_q71;Are psycho-social support services available in the community?;Required;Clarified;
1410665600;Zaitseve (Maiorsk GCA);comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily;Not needed;4
1410665600;Zaitseve (Maiorsk GCA);comm_q73;What is the primary source of drinking water in the community?;piped drinking water;Not needed;4
1410665600;Zaitseve (Maiorsk GCA);comm_q74;Do most households treat the water before drinking?;Yes;Clarified;
1411200000;Toretsk;comm_q1;Does the community have a police station?;Yes, functioning;Not needed;6
1411200000;Toretsk;comm_q12;Have there been any electricity shortages in the last 3 months?;Equally 'No' and 'Yes, infrequently';Clarified;
1411200000;Toretsk;comm_q13;Have there been any gas shortages in the last 3 months?;No;Not needed;6
1411200000;Toretsk;comm_q14;Have there been any water shortages in the past three months?;Most of respondents 'Yes, daily' and some of them 'Yes, infrequently';Clarified;
1411200000;Toretsk;comm_q15;Have there been any heating shortages during the last winter?;Most of respondents 'No' and some of them 'Yes, infrequently';Clarified;
1411200000;Toretsk;comm_q17;Are construction materials available in the community markets or in nearby markets?;Almost fully available;Clarified;
1411200000;Toretsk;comm_q3;Does the community have a local court?;Yes, functioning;Not needed;6
1411200000;Toretsk;comm_q66;Are there any landmines/other ERW in community?;yes. But there are demining process after every shelling;Clarified;
1411200000;Toretsk;comm_q69;Are there any child friendly space in the community?;Yes, insufficient;Clarified;
1411200000;Toretsk;comm_q71;Are psycho-social support services available in the community?;Yes, insufficient;Clarified;
1411200000;Toretsk;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;weekly;Clarified;
1411200000;Toretsk;comm_q73;What is the primary source of drinking water in the community?;piped drinking water;Not needed;6
1411200000;Toretsk;comm_q74;Do most households treat the water before drinking?;Yes;Clarified;
1411245300;Kirove;comm_q1;Does the community have a police station?;Yes, functioning;Not needed;5
1411245300;Kirove;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'No' and some of them 'Yes, infrequently';Clarified;
1411245300;Kirove;comm_q13;Have there been any gas shortages in the last 3 months?;No;Not needed;5
1411245300;Kirove;comm_q14;Have there been any water shortages in the past three months?;Most of respondents 'Yes, infrequently' and some of them 'Yes, daily';Clarified;
1411245300;Kirove;comm_q15;Have there been any heating shortages during the last winter?;Most of respondents 'No' and some of them 'Yes, infrequently';Clarified;
1411245300;Kirove;comm_q17;Are construction materials available in the community markets or in nearby markets?;Almost fully available;Clarified;
1411245300;Kirove;comm_q3;Does the community have a local court?;No;Clarified;
1411245300;Kirove;comm_q66;Are there any landmines/other ERW in community?;There is one (Sadova str.). It's deep in the ground (2m);Clarified;
1411245300;Kirove;comm_q69;Are there any child friendly space in the community?;Yes, insufficient;Clarified;
1411245300;Kirove;comm_q71;Are psycho-social support services available in the community?;Required;Clarified;
1411245300;Kirove;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Not in last three months but has happened;Clarified;
1411245300;Kirove;comm_q73;What is the primary source of drinking water in the community?;Most of respondents 'piped drinking water' and some of them 'bottled';Clarified;
1411245300;Kirove;comm_q74;Do most households treat the water before drinking?;Yes;Clarified;
1411245301;Dachne;comm_q1;Does the community have a police station?;No;Not needed;3
1411245301;Dachne;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'Yes, infrequently' and some of them 'No';Clarified;
1411245301;Dachne;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;3
1411245301;Dachne;comm_q14;Have there been any water shortages in the past three months?;The community has no water supply;Not needed;3
1411245301;Dachne;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;3
1411245301;Dachne;comm_q17;Are construction materials available in the community markets or in nearby markets?;Very limited availability;Clarified;
1411245301;Dachne;comm_q3;Does the community have a local court?;No;Not needed;3
1411245301;Dachne;comm_q66;Are there any landmines/other ERW in community?;Landmines\ERW are not present;Clarified;
1411245301;Dachne;comm_q69;Are there any child friendly space in the community?;No;Not needed;3
1411245301;Dachne;comm_q71;Are psycho-social support services available in the community?;No, required;Clarified;
1411245301;Dachne;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Never happened;Clarified;
1411245301;Dachne;comm_q73;What is the primary source of drinking water in the community?;well;Not needed;3
1411245301;Dachne;comm_q74;Do most households treat the water before drinking?;No;Not needed;3
1411245303;Dyliivka;comm_q1;Does the community have a police station?;No;Not needed;4
1411245303;Dyliivka;comm_q12;Have there been any electricity shortages in the last 3 months?;Equally 'No' and 'Yes, infrequently';Clarified;
1411245303;Dyliivka;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;4
1411245303;Dyliivka;comm_q14;Have there been any water shortages in the past three months?;The community has no water supply;Not needed;4
1411245303;Dyliivka;comm_q15;Have there been any heating shortages during the last winter?;Most of respondents 'No centralized heating in the community' and some of them 'No';Clarified;
1411245303;Dyliivka;comm_q17;Are construction materials available in the community markets or in nearby markets?;Very limited availability;Clarified;
1411245303;Dyliivka;comm_q3;Does the community have a local court?;No;Not needed;4
1411245303;Dyliivka;comm_q66;Are there any landmines/other ERW in community?;Landmines\ERW are present;Clarified;
1411245303;Dyliivka;comm_q69;Are there any child friendly space in the community?;No;Not needed;4
1411245303;Dyliivka;comm_q71;Are psycho-social support services available in the community?;No, required;Clarified;
1411245303;Dyliivka;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Not in last three months but has happened;Not needed;4
1411245303;Dyliivka;comm_q73;What is the primary source of drinking water in the community?;well;Not needed;4
1411245303;Dyliivka;comm_q74;Do most households treat the water before drinking?;No;Clarified;
1411245305;Druzhba;comm_q1;Does the community have a police station?;No;Not needed;6
1411245305;Druzhba;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'No' and some of them 'Yes, weekly';Clarified;
1411245305;Druzhba;comm_q13;Have there been any gas shortages in the last 3 months?;No;Not needed;5
1411245305;Druzhba;comm_q14;Have there been any water shortages in the past three months?;Most of respondents 'The community has no water supply' and some of them 'No';Clarified;
1411245305;Druzhba;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;6
1411245305;Druzhba;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Clarified;
1411245305;Druzhba;comm_q3;Does the community have a local court?;No;Not needed;6
1411245305;Druzhba;comm_q66;Are there any landmines/other ERW in community?;Landmines\ERW are not present;Not needed;3
1411245305;Druzhba;comm_q69;Are there any child friendly space in the community?;Insufficient;Clarified;
1411245305;Druzhba;comm_q71;Are psycho-social support services available in the community?;Required;Clarified;
1411245305;Druzhba;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Not in last three months but has happened;Clarified;
1411245305;Druzhba;comm_q73;What is the primary source of drinking water in the community?;well;Not needed;6
1411245305;Druzhba;comm_q74;Do most households treat the water before drinking?;No;Clarified;
1411245307;Ozarianivka;comm_q1;Does the community have a police station?;No;Not needed;4
1411245307;Ozarianivka;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'No' and some of them 'Yes, infrequently';Clarified;
1411245307;Ozarianivka;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;4
1411245307;Ozarianivka;comm_q14;Have there been any water shortages in the past three months?;Most of respondents 'Yes, daily' and some of them 'Yes, weekly';Clarified;
1411245307;Ozarianivka;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;4
1411245307;Ozarianivka;comm_q17;Are construction materials available in the community markets or in nearby markets?;Very limited availability;Clarified;
1411245307;Ozarianivka;comm_q3;Does the community have a local court?;No;Not needed;4
1411245307;Ozarianivka;comm_q66;Are there any landmines/other ERW in community?;Landmines\ERW are not present;Not needed;2
1411245307;Ozarianivka;comm_q69;Are there any child friendly space in the community?;No;Not needed;4
1411245307;Ozarianivka;comm_q71;Are psycho-social support services available in the community?;No, not required;Not needed;2
1411245307;Ozarianivka;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Not in last three months but has happened;Not needed;4
1411245307;Ozarianivka;comm_q73;What is the primary source of drinking water in the community?;Equally 'piped drinking water' and 'well';Clarified;
1411245307;Ozarianivka;comm_q74;Do most households treat the water before drinking?;No;Not needed;4
1411245600;Kurdiumivka;comm_q1;Does the community have a police station?;No;Not needed;4
1411245600;Kurdiumivka;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'No' and some of them 'Yes, infrequently';Clarified;
1411245600;Kurdiumivka;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;4
1411245600;Kurdiumivka;comm_q14;Have there been any water shortages in the past three months?;Yes, infrequently;Not needed;4
1411245600;Kurdiumivka;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;4
1411245600;Kurdiumivka;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Not needed;4
1411245600;Kurdiumivka;comm_q3;Does the community have a local court?;No;Not needed;4
1411245600;Kurdiumivka;comm_q66;Are there any landmines/other ERW in community?;Landmines\ERW are not present;Not needed;2
1411245600;Kurdiumivka;comm_q69;Are there any child friendly space in the community?;No;Not needed;4
1411245600;Kurdiumivka;comm_q71;Are psycho-social support services available in the community?;Not required;Clarified;
1411245600;Kurdiumivka;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Not in last three months but has happened;Not needed;4
1411245600;Kurdiumivka;comm_q73;What is the primary source of drinking water in the community?;piped drinking water;Not needed;4
1411245600;Kurdiumivka;comm_q74;Do most households treat the water before drinking?;No;Clarified;
1411245900;Leninske;comm_q1;Does the community have a police station?;No;Not needed;4
1411245900;Leninske;comm_q12;Have there been any electricity shortages in the last 3 months?;Equally 'No' and 'Yes, weekly';Clarified;
1411245900;Leninske;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;4
1411245900;Leninske;comm_q14;Have there been any water shortages in the past three months?;Most of respondents 'Yes, daily' and some of them 'No';Clarified;
1411245900;Leninske;comm_q15;Have there been any heating shortages during the last winter?;Most of respondents 'No centralized heating in the community' and some of them 'Yes, infrequently';Clarified;
1411245900;Leninske;comm_q17;Are construction materials available in the community markets or in nearby markets?;Very limited availability;Clarified;
1411245900;Leninske;comm_q3;Does the community have a local court?;No;Not needed;4
1411245900;Leninske;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;4
1411245900;Leninske;comm_q69;Are there any child friendly space in the community?;No;Not needed;4
1411245900;Leninske;comm_q71;Are psycho-social support services available in the community?;No, required;Not needed;4
1411245900;Leninske;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Weekly;Not needed;4
1411245900;Leninske;comm_q73;What is the primary source of drinking water in the community?;piped drinking water;Not needed;4
1411245900;Leninske;comm_q74;Do most households treat the water before drinking?;Yes;Not needed;4
1411246200;Nelipivka;comm_q1;Does the community have a police station?;No;Not needed;4
1411246200;Nelipivka;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'No' and some of them 'Yes, infrequently';Clarified;
1411246200;Nelipivka;comm_q13;Have there been any gas shortages in the last 3 months?;Most of respondents 'No' and some of them 'The community does not use gas';Clarified;
1411246200;Nelipivka;comm_q14;Have there been any water shortages in the past three months?;The community has no water supply;Not needed;4
1411246200;Nelipivka;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;4
1411246200;Nelipivka;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Clarified;
1411246200;Nelipivka;comm_q3;Does the community have a local court?;No;Not needed;4
1411246200;Nelipivka;comm_q66;Are there any landmines/other ERW in community?;Used to be as there were based militaries. Demimimg was done, so the Head does not sure about nothing;Clarified;
1411246200;Nelipivka;comm_q69;Are there any child friendly space in the community?;Very insufficient;Clarified;
1411246200;Nelipivka;comm_q71;Are psycho-social support services available in the community?;No, required;Not needed;3
1411246200;Nelipivka;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;There is no shelling in Nelipivka. But in 2 km in Novhorodske there are frequent shelling. ;Clarified;
1411246200;Nelipivka;comm_q73;What is the primary source of drinking water in the community?;Most of respondents 'well' and some of them 'bottled';Clarified;
1411246200;Nelipivka;comm_q74;Do most households treat the water before drinking?;No;Clarified;
1411246500;Novhorodske;comm_q1;Does the community have a police station?;Yes, functioning;Clarified;
1411246500;Novhorodske;comm_q12;Have there been any electricity shortages in the last 3 months?;Equally 'No' and 'Yes, infrequently';Clarified;
1411246500;Novhorodske;comm_q13;Have there been any gas shortages in the last 3 months?;Most of respondents 'No' and some of them 'The community does not use gas';Clarified;
1411246500;Novhorodske;comm_q14;Have there been any water shortages in the past three months?;Equally distributed (look at the options);Clarified;
1411246500;Novhorodske;comm_q15;Have there been any heating shortages during the last winter?;Most of respondents 'No' and some of them 'No centralized heating in the community';Clarified;
1411246500;Novhorodske;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Clarified;
1411246500;Novhorodske;comm_q3;Does the community have a local court?;No. Persons approach one in Toretsk;Clarified;
1411246500;Novhorodske;comm_q66;Are there any landmines/other ERW in community?;There are. They are marked by SES. The process of demining has already started;Clarified;
1411246500;Novhorodske;comm_q69;Are there any child friendly space in the community?;Yes, insufficient;Clarified;
1411246500;Novhorodske;comm_q71;Are psycho-social support services available in the community?;Yes, insufficient;Clarified;
1411246500;Novhorodske;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;daily shootings, from more heavy weapon 2 - 3 times per week. ;Clarified;
1411246500;Novhorodske;comm_q73;What is the primary source of drinking water in the community?;Most of respondents 'piped drinking water' and some of them 'water trucking';Clarified;
1411246500;Novhorodske;comm_q74;Do most households treat the water before drinking?;Yes;Clarified;
1411246507;Yurivka;comm_q1;Does the community have a police station?;No;Not needed;3
1411246507;Yurivka;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'No' and some of them 'Yes, infrequently';Clarified;
1411246507;Yurivka;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;3
1411246507;Yurivka;comm_q14;Have there been any water shortages in the past three months?;The community has no water supply;Not needed;3
1411246507;Yurivka;comm_q15;Have there been any heating shortages during the last winter?;Most of respondents 'No centralized heating in the community' and some of them 'No';Clarified;
1411246507;Yurivka;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Clarified;
1411246507;Yurivka;comm_q3;Does the community have a local court?;No;Not needed;3
1411246507;Yurivka;comm_q66;Are there any landmines/other ERW in community?;Landmines\ERW are present;Clarified;
1411246507;Yurivka;comm_q69;Are there any child friendly space in the community?;No;Not needed;2
1411246507;Yurivka;comm_q71;Are psycho-social support services available in the community?;No, not required;Not needed;2
1411246507;Yurivka;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily;Clarified;
1411246507;Yurivka;comm_q73;What is the primary source of drinking water in the community?;well;Not needed;3
1411246507;Yurivka;comm_q74;Do most households treat the water before drinking?;No;Not needed;3
1411270300;Artemove;comm_q1;Does the community have a police station?;Yes (1 policeman);Clarified;
1411270300;Artemove;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'Yes, infrequently' and some of them 'No';Clarified;
1411270300;Artemove;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;4
1411270300;Artemove;comm_q14;Have there been any water shortages in the past three months?;Most of respondents 'Yes, daily' and some of them 'No';Clarified;
1411270300;Artemove;comm_q15;Have there been any heating shortages during the last winter?;Most of respondents 'No' and some of them 'No centralized heating in the community';Clarified;
1411270300;Artemove;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Clarified;
1411270300;Artemove;comm_q3;Does the community have a local court?;No;Not needed;4
1411270300;Artemove;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;3
1411270300;Artemove;comm_q69;Are there any child friendly space in the community?;No;Clarified;
1411270300;Artemove;comm_q71;Are psycho-social support services available in the community?;Required;Clarified;
1411270300;Artemove;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily;Clarified;
1411270300;Artemove;comm_q73;What is the primary source of drinking water in the community?;piped drinking water;Not needed;4
1411270300;Artemove;comm_q74;Do most households treat the water before drinking?;Yes;Clarified;
1412365800;Talakivka;comm_q1;Does the community have a police station?;No;Not needed;4
1412365800;Talakivka;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'Yes, infrequently' and some of them 'No';Clarified;
1412365800;Talakivka;comm_q13;Have there been any gas shortages in the last 3 months?;No;Not needed;4
1412365800;Talakivka;comm_q14;Have there been any water shortages in the past three months?;Most of respondents 'Yes, infrequently' and some of them 'No';Clarified;
1412365800;Talakivka;comm_q15;Have there been any heating shortages during the last winter?;Most of respondents 'No' and some of them 'No centralized heating in the community';Clarified;
1412365800;Talakivka;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Clarified;
1412365800;Talakivka;comm_q3;Does the community have a local court?;No;Not needed;4
1412365800;Talakivka;comm_q66;Are there any landmines/other ERW in community?;Landmines\ERW are present;Clarified;
1412365800;Talakivka;comm_q69;Are there any child friendly space in the community?;Yes, insufficient;Clarified;
1412365800;Talakivka;comm_q71;Are psycho-social support services available in the community?;Yes, sufficient;Not needed;3
1412365800;Talakivka;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Infrequently;Clarified;
1412365800;Talakivka;comm_q73;What is the primary source of drinking water in the community?;Most of respondents 'piped drinking water' and some of them 'bottled';Clarified;
1412365800;Talakivka;comm_q74;Do most households treat the water before drinking?;Yes;Clarified;
1412365801;Hnutove;comm_q1;Does the community have a police station?;No;Not needed;4
1412365801;Hnutove;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'No' and some of them 'Yes, infrequently';Clarified;
1412365801;Hnutove;comm_q13;Have there been any gas shortages in the last 3 months?;The community does not use gas;Not needed;4
1412365801;Hnutove;comm_q14;Have there been any water shortages in the past three months?;Most of respondents 'No' and some of them 'Yes, infrequently';Clarified;
1412365801;Hnutove;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;4
1412365801;Hnutove;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Clarified;
1412365801;Hnutove;comm_q3;Does the community have a local court?;No;Not needed;4
1412365801;Hnutove;comm_q66;Are there any landmines/other ERW in community?;Landmines\ERW are present;Clarified;
1412365801;Hnutove;comm_q69;Are there any child friendly space in the community?;Yes, insufficient;Clarified;
1412365801;Hnutove;comm_q71;Are psycho-social support services available in the community?;Required;Clarified;
1412365801;Hnutove;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Infrequently;Clarified;
1412365801;Hnutove;comm_q73;What is the primary source of drinking water in the community?;Most of respondents 'piped drinking water' and some of them 'well';Clarified;
1412365801;Hnutove;comm_q74;Do most households treat the water before drinking?;Yes;Clarified;
1412365803;Lomakyne;comm_q1;Does the community have a police station?;No;Not needed;3
1412365803;Lomakyne;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'No' and some of them 'Yes, infrequently';Clarified;
1412365803;Lomakyne;comm_q13;Have there been any gas shortages in the last 3 months?;No;Not needed;3
1412365803;Lomakyne;comm_q14;Have there been any water shortages in the past three months?;Most of respondents 'The community has no water supply' and some of them 'No';Clarified;
1412365803;Lomakyne;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;3
1412365803;Lomakyne;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Clarified;
1412365803;Lomakyne;comm_q3;Does the community have a local court?;No;Not needed;3
1412365803;Lomakyne;comm_q66;Are there any landmines/other ERW in community?;Landmines\ERW are present;Clarified;
1412365803;Lomakyne;comm_q69;Are there any child friendly space in the community?;No;Not needed;3
1412365803;Lomakyne;comm_q71;Are psycho-social support services available in the community?;No, required;Not needed;3
1412365803;Lomakyne;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Infrequently;Clarified;
1412365803;Lomakyne;comm_q73;What is the primary source of drinking water in the community?;well;Not needed;3
1412365803;Lomakyne;comm_q74;Do most households treat the water before drinking?;No;Not needed;3
1420910600;Svitlodarsk;comm_q1;Does the community have a police station?;Yes, functioning;Not needed;6
1420910600;Svitlodarsk;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'No' and some of them 'Yes, infrequently';Clarified;
1420910600;Svitlodarsk;comm_q13;Have there been any gas shortages in the last 3 months?;No;Not needed;6
1420910600;Svitlodarsk;comm_q14;Have there been any water shortages in the past three months?;Most of respondents 'No' and some of them 'Yes, infrequently';Clarified;
1420910600;Svitlodarsk;comm_q15;Have there been any heating shortages during the last winter?;No;Not needed;6
1420910600;Svitlodarsk;comm_q17;Are construction materials available in the community markets or in nearby markets?;Almost fully available;Clarified;
1420910600;Svitlodarsk;comm_q3;Does the community have a local court?;No. In Bakhmut;Clarified;
1420910600;Svitlodarsk;comm_q66;Are there any landmines/other ERW in community?;Yes, but not in town, in outskirts;Clarified;
1420910600;Svitlodarsk;comm_q69;Are there any child friendly space in the community?;Yes, insufficient;Clarified;
1420910600;Svitlodarsk;comm_q71;Are psycho-social support services available in the community?;Yes, insufficient;Clarified;
1420910600;Svitlodarsk;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;No shelling in the town since decemder. In outskirts weekly;Clarified;
1420910600;Svitlodarsk;comm_q73;What is the primary source of drinking water in the community?;piped drinking water;Not needed;6
1420910600;Svitlodarsk;comm_q74;Do most households treat the water before drinking?;Yes;Clarified;
1420955400;Luhanske;comm_q1;Does the community have a police station?;No;Not needed;3
1420955400;Luhanske;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'Yes, weekly' and some of them 'Yes, daily';Clarified;
1420955400;Luhanske;comm_q13;Have there been any gas shortages in the last 3 months?;Most of respondents 'Yes, infrequently' and some of them 'No';Clarified;
1420955400;Luhanske;comm_q14;Have there been any water shortages in the past three months?;Most of respondents 'Yes, infrequently' and some of them 'Yes, daily';Clarified;
1420955400;Luhanske;comm_q15;Have there been any heating shortages during the last winter?;No centralized heating in the community;Not needed;3
1420955400;Luhanske;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Not needed;3
1420955400;Luhanske;comm_q3;Does the community have a local court?;No;Not needed;3
1420955400;Luhanske;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;3
1420955400;Luhanske;comm_q69;Are there any child friendly space in the community?;Very insufficient;Clarified;
1420955400;Luhanske;comm_q71;Are psycho-social support services available in the community?;Yes, insufficient;Not needed;3
1420955400;Luhanske;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily;Not needed;3
1420955400;Luhanske;comm_q73;What is the primary source of drinking water in the community?;well;Not needed;3
1420955400;Luhanske;comm_q74;Do most households treat the water before drinking?;No;Not needed;3
1420955500;Myronivskyi;comm_q1;Does the community have a police station?;No. But there is a police patrol from Novoluhanske which comes almost every day.;Clarified;
1420955500;Myronivskyi;comm_q12;Have there been any electricity shortages in the last 3 months?;Yes, infrequently;Not needed;5
1420955500;Myronivskyi;comm_q13;Have there been any gas shortages in the last 3 months?;No;Not needed;5
1420955500;Myronivskyi;comm_q14;Have there been any water shortages in the past three months?;Equally distributed (look at the options);Clarified;
1420955500;Myronivskyi;comm_q15;Have there been any heating shortages during the last winter?;Most of respondents 'No' and some of them 'Yes, infrequently';Clarified;
1420955500;Myronivskyi;comm_q17;Are construction materials available in the community markets or in nearby markets?;Limited availability;Clarified;
1420955500;Myronivskyi;comm_q3;Does the community have a local court?;No;Not needed;5
1420955500;Myronivskyi;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;2
1420955500;Myronivskyi;comm_q69;Are there any child friendly space in the community?;Yes, insufficient;Clarified;
1420955500;Myronivskyi;comm_q71;Are psycho-social support services available in the community?;Required;Clarified;
