QF_Type	start	end	date_assessment	gender_KI	comm_q1	comm_q2	comm_q3	comm_q4	comm_q5	comm_q6	comm_q6_other	comm_q7	comm_q8	comm_q9	comm_q9_other	comm_q10	comm_q11	comm_q12	comm_q13	comm_q14	comm_q15	comm_q16	comm_q16_other	comm_q17	comm_q18	comm_q19	comm_q20	comm_q21	comm_q22	comm_q23	comm_q24	comm_q25	comm_q26	comm_q27	comm_q28	comm_q29	comm_q30	comm_q31	comm_q32	comm_q33	comm_q34	comm_q35	comm_q36	comm_q37	comm_q38	comm_q39	comm_q40	comm_q41	comm_q42	comm_q43	comm_q44	comm_q45	food_market_active	nfi_market_active	mixed_market_active	active_markets	food_market_limited	nfi_market_limited	mixed_market_limited	limited_markets	food_market_closed	nfi_market_closed	mixed_market_closed	closed_markets	comm_q49	comm_q50	comm_q50_other	comm_q51	comm_q51_other	comm_q52	comm_q53	comm_q53_other	comm_q54	comm_q54_other	comm_q55	comm_q56	comm_q57	comm_q58	comm_q58_other	comm_q59	comm_q60	comm_q61	comm_q61_other	comm_q62	comm_q62_other	comm_q63	comm_q63_other	comm_q64	comm_q65	comm_q65_other	comm_q66	comm_q66_other	comm_q67	comm_q68	comm_q69	comm_q70	comm_q70_other	comm_q71	comm_q72	comm_q73	comm_q73_other	comm_q74	comm_q74_other	comm_q75	comm_q75_other	comm_q76	comm_q76_other	current_oblast	current_raion	current_village	gps_work	_gpslocation_latitude	_gpslocation_longitude	location_manual	_id
Community	2017-05-18T10:29:35.895+03	2017-05-18T11:17:14.241+03	2017-05-18	male	Yes, functioning		No	Бахмут	Yes	No challenges		3	Да	"No health facilities available in the area; Security concerns around travel to health facility; No transportation\long distance to facility;"		all equally	0-250	Yes, infrequently	no	Yes, daily	no	No problems		Fully available	35.0	20.0	32.0	20.0	5.0	999.0	65.0	75.0	105.0	90.0	21.0	9.0	9.0	21.0	7.0	999.0	999.0	999.0	999.0	16.0	13.0	25.0	50.0	19.0	999.0	7.0	20.0	28.0	0	0	1	1	0	0	0	0	0	0	0	0	Бахмут	Public bus service Private transport (own car, borrowed car)		Distance Security concerns in travelling			local (in this rayon) from other regions of Ukraine		Stable employment (salaried) Allowances (Social security\welfare)		Fully available	Fully available	Fully available	Cost		На местнои рынке	Горловка	Distance Problems transporting produce Security concerns		Cost of travelling to FSP Lack of FSPs (incl. ATMs) Technical issues at FSP (eg. Electronic systems not functioning)		Mines and ERW Presence of armed groups		No			"Landmines\ERW are present;"		Yes, insufficient	None of the known areas	Yes, sufficient	All available		No, required	Daily	piped drinking water		No		Public (paid) waste collection		Damage to infrastructure water shortages		Donetska	Bakhmutskyi	Luhanske	Yes	48.429905992275934	38.17479020747442		3725352
Community	2017-05-18T11:24:56.496+03	2017-05-18T11:48:15.658+03	2017-05-18	female	Yes, functioning		No	Бахмут	Yes	No challenges		2	Бахмут	"No health facilities available in the area; High cost of transportation to health facility; No transportation\long distance to facility;"		all equally	don’t know	Yes, infrequently	no	Yes, infrequently	no	Fuel too expensive		Fully available	999.0	999.0	30.0	16.0	5.0	999.0	55.0	100.0	60.0	100.0	999.0	9.0	9.0	14.0	999.0	999.0	999.0	999.0	999.0	999.0	10.0	42.0	50.0	999.0	999.0	10.0	999.0	37.0	0	0	1	1	0	0	0	0	0	0	0	0	Бахмут	Public bus service		Distance			local (in this rayon) from other regions of Ukraine		Stable employment (salaried) Allowances (Social security\welfare)		Fully available	Fully available	Fully available	Cost		Местный рынок	Горловка	Problems transporting produce Used to sell at markets which are now at NGCA		Distance to FSP Lack of FSPs (incl. ATMs)		Community tension Presence of armed groups		No			Not sure\don't know		Yes, insufficient		Yes, sufficient	All available		No, required	Daily	piped drinking water		Yes		Public (paid) waste collection		water shortages		Donetska	Bakhmutskyi	Luhanske	Yes	48.42575071896743	38.176609958091824		3725355
Community	2017-05-18T13:01:45.540+03	2017-05-18T14:46:30.680+03	2017-05-18	female	No	Камышеваха	No	Попасная	Yes	Distance to services is too big		0	Попасная	"No health facilities available in the area; other (specify)"	Нельзя дозвониться в скорую	all equally	don’t know	Yes, infrequently	no	The community has no water supply	No centralized heating in the community	No problems Fuel too expensive		Fully available	30.0	999.0	28.0	17.0	5.0	999.0	999.0	999.0	999.0	999.0	17.0	10.0	999.0	15.0	6.0	999.0	8.0	999.0	7.0	12.0	15.0	20.0	34.0	999.0	400.0	7.0	16.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Попасная	Public bus service other (specify)	Поезд	Distance high prices Transport is too expensive		13.0	from the oblast from other regions of Ukraine		Unstable employment (daily) Farming		Fully available	Fully available	Fully available	Cost		Попасная	По месту, на трассе	Distance Problems transporting produce		Other (specify)	Все банки в Попасной	Community tension Freedom of movement		No			Landmines\ERW are not present		No		No	Registration servives Delivering pensions or social benefits		No, required	Weekly	well		No		Waste is left in the street\public area		other (specify)	Вода уходит с колодцев, качество воды не проверялась	Luhanska	Popasnianskyi	Oleksandropillia	Yes	48.676886662359536	38.36936190391022		3726616
Community	2017-05-18T14:06:00.976+03	2017-05-18T14:46:38.185+03	2017-05-18	female	No	Комышеваха	No	Попасная	Yes	No challenges		0	Комышеваха	"No health facilities available in the area;"		all equally	don’t know	Yes, infrequently	The community does not use gas	The community has no water supply	No centralized heating in the community	Fuel too expensive		Not available	999.0	999.0	27.0	16.0	5.0	999.0	999.0	999.0	999.0	999.0	17.0	7.0	7.5	999.0	999.0	999.0	999.0	999.0	999.0	20.0	999.0	999.0	999.0	8.0	400.0	999.0	999.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Попасная	Public bus service other (specify)	Поезд	Distance			from other regions of Ukraine		Farming Allowances (Social security\welfare) other (specify)	Гуманитарная  помощь	Fully available	Fully available	Fully available	Cost Other (specify)	Рынки далеко	Между собой	Попасная, Комышеваха, Первомайск, вдоль трассы	Distance Other (specify)	Место на рынке дорогое	Distance to FSP		Community tension Freedom of movement		No			Landmines\ERW are not present		No		No	In-home social care Delivering pensions or social benefits		No, required	Weekly	well		Yes		other (specify)	Сжигают в своих печах	no problems		Luhanska	Popasnianskyi	Viktorivka	Yes	48.707726655145365	38.34922079035452		3726618
Community	2017-05-18T13:02:24.425+03	2017-05-18T16:42:17.394+03	2017-05-18	female	No	Камишеваха	No	Попасная	Don't know	No challenges		0	Попасная 2, врз	"No health facilities available in the area; other (specify)"	Нет в пос елке мед учереждений	all equally	don’t know	no	no	The community has no water supply	No centralized heating in the community	No problems		Fully available	32.0	16.0	30.0	17.0	5.0	999.0	999.0	999.0	40.0	125.0	24.0	7.0	7.0	8.0	4.0	8.0	8.0	999.0	8.0	14.0	15.0	24.0	32.0	999.0	999.0	6.0	16.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Попасная	other (specify)	Дизель	Distance			local (in this rayon) from other regions of Ukraine		Unstable employment (daily) Farming other (specify)	Работают в Попасной и врз	Fully available	Fully available	Fully available	Cost		На ринке в Попасной	Там же в Попасной	Distance Problems transporting produce		Queues		No concerns No concerns		No			Landmines\ERW are not present		No		No	Delivering pensions or social benefits Other (specify)	Получают пенсии в Попасной	Don't know	Daily	well		No		Waste is disposed of at designated waste management site other (specify)	Свалка за поселком	no problems		Luhanska	Popasnianskyi	Settlement is not on the list	Yes	48.6766179687756	38.3692297540324		3727275
Community	2017-05-18T14:07:23.173+03	2017-05-18T16:53:24.532+03	2017-05-18	female	No	Камишеваха	No	Попасная	No	Distance to services is too big other (specify)	Но ездит автобус	0	Камишеваха	"No health facilities available in the area; other (specify)"	Приходится добираться школьним автобусом	all equally	don’t know	no	The community does not use gas	The community has no water supply	No centralized heating in the community	Fuel too expensive other (specify)	Топливо предоставили НГО	Fully available	999.0	999.0	999.0	17.0	7.0	999.0	999.0	999.0	60.0	999.0	19.0	9.0	999.0	10.0	999.0	999.0	999.0	999.0	999.0	7.0	15.0	20.0	999.0	9.0	999.0	5.0	999.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Ларек , ездят в Камишеваху	Walking other (specify)	От переезда ходит автобус	Distance high prices Transport is too expensive		30.0	from other regions of Ukraine		Allowances (Social security\welfare) other (specify)	Помощь от НГО	Fully available	Fully available	Fully available	Cost		Попасная	Попасная	Problems transporting produce		Distance to FSP Cost of travelling to FSP		No concerns No concerns		No			Landmines\ERW are not present		No		No	In-home social care Delivering pensions or social benefits Other (specify)	Пенсии доставляют в Камишеваху	No, not required	never happened	Other (specify)	Вода плохого  качества, с водой проблема, носят вручную	No		Waste is buried or burned		water shortages other (specify)	Скважин нет, вода горькая	Luhanska	Popasnianskyi	Viktorivka	Yes	48.7077306368667	38.349034257691706		3727280
Community	2017-05-18T12:56:37.125+03	2017-05-18T16:10:22.453+03	2017-05-18	female	No	Попасная	No	Попасная	Yes	Distance to services is too big		1	А соседям за ліками	"High cost of transportation to health facility; No transportation\long distance to facility;"		all equally	don’t know	no	The community does not use gas	The community has no water supply	No centralized heating in the community	Fuel too expensive		Not available	35.0	12.0	26.0	16.0	999.0	999.0	60.0	999.0	68.0	999.0	16.0	8.0	6.8	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	26.0	999.0	13.0	500.0	4.0	18.75	50.0	0	0	0	0	0	0	0	0	0	0	0	0	Магазин	Private bus service Public bus service Private transport (own car, borrowed car) Bicycle		Distance high prices			local (in this rayon)		Stable employment (salaried) Unstable employment (daily) Farming Allowances (Social security\welfare)		Don't know	Fully available	Fully available	Cost		Продажа соседям	На ринку или по соседям	Distance Problems transporting produce		Distance to FSP Cost of travelling to FSP		No concerns		No			Landmines\ERW are not present		Yes, sufficient		No	In-home social care		Don't know	Daily	well		No		Waste is buried or burned		no problems		Luhanska	Popasnianskyi	Komyshuvakha	Yes	48.699210615068615	38.433333908702686		3727546
Community	2017-05-18T14:08:01.488+03	2017-05-18T16:40:06.103+03	2017-05-18	female	No	пос.Комышеваха	No	Попасная	Yes	other (specify)	Учебники,нет горячих обедов	0	пос.Комышеваха	"No health facilities available in the area; other (specify)"	Нет узких специалистов в ближайшем МУ(Комышеваха)	all equally	don’t know	Yes, infrequently	The community does not use gas	The community has no water supply	No centralized heating in the community	Fuel too expensive Delivery problems		Limited availability	29.0	12.0	31.0	17.0	6.0	999.0	999.0	55.0	40.0	90.0	20.0	9.0	9.0	10.0	8.0	11.0	999.0	999.0	10.0	8.0	10.0	18.0	36.0	11.0	999.0	4.0	18.0	25.0	0	0	0	0	0	0	0	0	0	0	0	0	Попасная	Public bus service		Distance			from other regions of Ukraine		Farming Allowances (Social security\welfare)		Limited availability	Limited availability	Limited availability	Cost		Ранок Попасная (некоторые)	рынок Попасная	Distance		Distance to FSP Queues Technical issues at FSP (eg. Electronic systems not functioning)		Community tension Mines and ERW Presence of armed groups		No			Landmines\ERW are not present		No		No	In-home social care Registration servives Delivering pensions or social benefits		No, required	Daily	well		No		Waste is buried or burned Waste is left in the street\public area		No water to flush water shortages		Luhanska	Popasnianskyi	Viktorivka	Yes	48.707782348719014	38.349221837500025		3727714
Community	2017-05-18T11:06:17.609+03	2017-05-18T11:38:06.931+03	2017-05-18	female	Yes, functioning		No	Попасная	Yes	No challenges		1	Попасная	"No health facilities available in the area; High cost of transportation to health facility; Disability\injuries\illness;"		all equally	don’t know	no	Don't know	Yes, daily	No centralized heating in the community	Fuel too expensive		Fully available	999.0	10.0	999.0	18.5	6.0	999.0	60.0	60.0	40.0	60.0	25.0	8.5	8.5	10.0	999.0	999.0	999.0	999.0	999.0	15.0	15.0	30.0	50.0	9.0	999.0	8.0	25.0	999.0	0	0	1	1	0	0	0	0	0	0	0	0	Попасная	Private bus service other (specify)	Поезд	Distance poor product selection			local (in this rayon) from the oblast from other regions of Ukraine		Allowances (Social security\welfare) Support from family\friends		Fully available	Fully available	Fully available	Cost		Попасная	Попасная	Distance		Distance to FSP Lack of FSPs (incl. ATMs) Other (specify)	Нет в селении	No concerns		No			Landmines\ERW are not present		No		Yes, insufficient	All available		No, required	Daily	well		No		Public (paid) waste collection Waste is buried or burned		No water to flush Damage to infrastructure water shortages		Luhanska	Popasnianskyi	Komyshuvakha	Yes	48.69589355309944	38.38686084006595		3727891
Community	2017-05-18T12:31:37.047+03	2017-05-18T13:17:24.622+03	2017-05-18	female	Yes, functioning		No	Попасная	Yes	No challenges		1	Заказывают из попасной  медикаменты	"No difficulties of access reported;"		no issues	0-250	Yes, infrequently	The community does not use gas	The community has no water supply	No centralized heating in the community	Fuel too expensive		Fully available	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	8.0	7.0	10.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	0	0	1	1	0	0	0	0	0	0	0	0	Попасная, горское.	Public bus service other (specify)	Автобус рейсовый	No challenges			local (in this rayon)		Stable employment (salaried) Allowances (Social security\welfare)		Fully available	Fully available	Fully available	Don't know		Не продают	Не продают	No problems		Distance to FSP		No concerns No concerns		No			other (specify)	Все что было известно - разминиировано	Yes, insufficient		Yes, insufficient	Other (specify)	Оформление док.в попасной	No, not required	Weekly	well		No		Waste is buried or burned		no problems		Luhanska	Popasnianskyi	Komyshuvakha	Yes	48.69910664894841	38.433366539744895		3728374
